time[s],wz1[dps],wz2[dps],wz3[dps],fz1[mps2],fz2[mps2],fz3[mps2]
0.9700,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
0.9800,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
0.9900,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.0000,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.0100,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.0200,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.0300,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.0400,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.0500,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.0600,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.0700,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.0800,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.0900,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.1000,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.1100,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.1200,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.1300,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.1400,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.1500,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.1600,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.1700,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.1800,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.1900,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.2000,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.2100,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.2200,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.2300,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.2400,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.2500,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.2600,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.2700,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.2800,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.2900,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.3000,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.3100,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.3200,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.3300,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.3400,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.3500,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.3600,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.3700,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.3800,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.3900,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.4000,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.4100,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.4200,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.4300,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.4400,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.4500,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.4600,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.4700,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.4800,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.4900,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.5000,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.5100,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.5200,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.5300,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.5400,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.5500,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.5600,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.5700,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.5800,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.5900,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.6000,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.6100,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.6200,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.6300,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.6400,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.6500,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.6600,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.6700,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.6800,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.6900,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.7000,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.7100,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.7200,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.7300,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.7400,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.7500,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.7600,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.7700,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.7800,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.7900,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.8000,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.8100,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.8200,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.8300,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.8400,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.8500,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.8600,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.8700,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.8800,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.8900,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.9000,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.9100,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.9200,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.9300,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.9400,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.9500,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.9600,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.9700,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.9800,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
1.9900,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.0000,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.0100,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.0200,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.0300,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.0400,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.0500,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.0600,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.0700,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.0800,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.0900,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.1000,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.1100,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.1200,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.1300,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.1400,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.1500,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.1600,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.1700,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.1800,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.1900,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.2000,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.2100,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.2200,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.2300,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.2400,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.2500,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.2600,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.2700,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.2800,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.2900,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.3000,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.3100,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.3200,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.3300,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.3400,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.3500,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.3600,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.3700,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.3800,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
2.3900,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
